layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,188570.73,99638.34,330262.22,536.03296,113.30454,760.9436,9000.0,0.04,3.4,1.183211110854432e-48,0.0240650808437785,0.014296961166644,6.0,3.1967805906754685,0.1277470085706537,0.04,3.38,1.2990224794108828e-48,0.0237564411075893,0.04,3.38,0.0237564411075893,3375,131.899,0.055415,1.83491e-24,116.308,0.0294734,3.1667e-07,93.6134,0.026207,8.39031e-06,7.6184729e-05
3,42568.312,23773.76,71607.33,488.9953,135.97452,891.27313,36000.0,0.04,2.8,5.1846774156555953e-48,0.025911919929631,0.0071531615485336,6.0,3.1967805906754685,0.2466681636213575,0.039,2.89,7.79899558325057e-50,0.0250710192594317,0.039,2.89,0.0250710192594317,2845,53.5844,0.0577695,7.115699999999996e-105,47.5145,0.0316814,7.939590000000001e-32,37.2651,0.0303621,2.88915e-29,4.3321122000000004e-20
4,10773.336,5322.67,20877.791,785.2428,131.39227,1768.9534,144000.0,0.04,2.2,3.8054368256845895e-47,0.0286649124259349,0.0035777446059643,5.9,3.1946574114696267,0.3365331959525641,0.039,2.24,7.887663287751082e-49,0.0270530271850707,0.039,2.24,0.0270530271850707,2530,23.1486,0.054251,0.0,20.6773,0.0289753,1.8310899999999987e-105,16.103,0.0249643,2.1538599999999996e-78,5.482051199999997e-92
5,1800.4349,923.853,3624.655,858.0374,109.91374,2074.8833,576000.0,0.04,2.4,1.9663468394526166e-48,0.0259728561304749,0.0017891624583277,5.8,3.1923664447020617,0.3975192543658137,0.04,2.4,1.9663468394526172e-48,0.0259728561304749,0.04,2.4,0.0259728561304749,2845,10.8825,0.0486522,0.0,9.71214,0.0239306,5.558779999999999e-287,7.60183,0.0189337,8.485669999999995e-180,0.0
6,390.8875,183.28865,971.46985,1521.5397,104.03553,3444.5295,2304000.0,0.04,2.8,4.760878451821337e-50,0.0278785156591213,0.0008946536675937,5.8,3.1923664447020617,0.4354259726705707,0.039,2.9,6.793339657395467e-52,0.0275128265090771,0.039,2.9,0.0275128265090771,2530,5.7312,0.0421541,0.0,5.10167,0.0171765,0.0,4.01216,0.0134579,0.0,0.0
7,98.47922,41.024357,351.60403,3306.705,84.34887,5672.12,9216000.0,0.04,3.3,9.891023324721636e-52,0.028445412695662,0.0004473449308468,5.8,3.1923664447020617,0.4589744524589592,0.039,3.37,1.6078398686782226e-53,0.0276264097419566,0.039,3.37,0.0276264097419566,2530,3.21246,0.0391175,0.0,2.84697,0.0130996,0.0,2.26598,0.0124197,0.0,0.0
8,33.173733,15.926921,100.374084,2264.614,78.32176,4638.6377,36864000.0,0.04,3.7,5.3409443262130245e-53,0.0214006107554078,0.0002236769881161,5.8,3.1923664447020617,0.469514146099384,0.04,3.7,5.340944326213023e-53,0.0214006107554078,0.04,3.7,0.0214006107554078,4050,2.08146,0.0412916,0.0,1.83749,0.014487,0.0,1.46714,0.0143513,0.0,0.0
9,11.252635,4.4278646,43.877705,5137.0986,82.329865,6105.3716,147456000.0,0.04,3.0,4.901033096739312e-52,0.0247474480076984,0.000111839624535,5.8,3.1923664447020617,0.4799098935680855,0.04,3.02,4.432255748135254e-52,0.0243788088756495,0.04,3.02,0.0243788088756495,3199,1.03417,0.043593,0.0,0.914581,0.0171908,0.0,0.725643,0.0156112,0.0,0.0
10,1.8759142,0.6159922,10.184826,9775.981,78.68425,7496.8584,589824000.0,0.04,2.6,6.678594176206668e-52,0.0292434451993772,5.5920094864633584e-05,0.03,5.510364387033573e-61,0.48163,0.039,2.69,1.0111426738855975e-53,0.028673813183169,0.039,2.69,0.028673813183169,2250,0.361633,0.046655,0.0,0.298702,0.0261,0.0,0.237466,0.0261,0.0,0.0
